,Tracking,Tracking validity,Fetching status,Weight Charged,Status
0,5023001745,Valid,Success,1.44 Kilograms,Delivered - Signed for by GILLAN
1,5023001701,Valid,Success,0.42 Kilograms,Delivered - Signed for by MILTON HENRI
2,5023001712,Valid,Success,0.44 Kilograms,Delivered - Signed for by
3,5023001723,Valid,Success,0.94 Kilograms,Delivered - Signed for by KATE RAWLTON
4,399260988854,Valid,Success,2.9 LB,
5,VIA DXB FEDEX,Invalid,,,
6,399323740495,Valid,Success,1.7 LB,
7,5023002364,Valid,Success,1.66 Kilograms,Delivered - Signed for by
8,5023002040,Valid,Success,0.45 Kilograms,Delivered - Signed for by
9,5023001690,Valid,Success,1.34 Kilograms,Delivered - Signed for by
10,5023001340,Valid,Success,0.5 Kilograms,Delivered - Signed for by
11,5023003440,Valid,Success,2.82 Kilograms,Delivered - Signed for by H RIVER
12,5023003436,Valid,Success,1.76 Kilograms,Delivered - Signed for by R BELL
13,5023003425,Valid,Success,2.9 Kilograms,Delivered - Signed for by
14,5023003252,Valid,Success,0.48 Kilograms,Delivered - Signed for by JAMES RIGBY
15,5023003241,Valid,Success,0.5 Kilograms,Returned to shipper
16,5023003230,Valid,Success,0.5 Kilograms,Returned to shipper
17,5023003226,Valid,Success,0.5 Kilograms,Returned to shipper
18,5023003215,Valid,Success,0.5 Kilograms,Returned to shipper
19,DXB DHL,Invalid,,,
20,DXB DHL,Invalid,,,
21,399414321590,Valid,Success,1.1 LB,
22,399414115923,Valid,Success,1.7 LB,
23,399414093741,Valid,Success,3.2 LB,
24,399414075904,Valid,Success,2.8 LB,
25,5985107111,Valid,Success,1.1 Kilograms,
26,5985107100,Valid,Success,0.5 Kilograms,
27,5985107096,Valid,Success,0.5 Kilograms,Returned to shipper
28,5023003974,Valid,Success,0.5 Kilograms,Returned to shipper
29,5023003963,Valid,Success,1.2 Kilograms,Delivered - Signed for by K METCALF
30,5023003941,Valid,Success,2.88 Kilograms,Delivered - Signed for by
31,5023003915,Valid,Success,2.88 Kilograms,Delivered - Signed for by
32,5985109734,Valid,Success,2.86 Kilograms,Delivered - Signed for by GHOLT
33,5023003882,Valid,Success,0.5 Kilograms,Returned to shipper
34,399440077889,Valid,Success,2.5 LB,
35,399438144607,Valid,Success,1.5 LB,
36,5985107811,Valid,Success,2.9 Kilograms,Delivered - Signed for by CW HALL
37,399495335730,Valid,Success,2.4 LB,
38,399495402156,Valid,Success,3.9 LB,
39,399495462883,Valid,Success,1.9 LB,
40,5985108006,Valid,Success,1.0 Kilograms,Delivered - Signed for by LITTLE
41,5985108205,Valid,Success,1.56 Kilograms,Delivered - Signed for by WEINRICH
42,399567645135,Valid,Success,1.2 LB,
43,399567848736,Valid,Success,1.7 LB,
44,5985108662,Valid,Success,1.5 Kilograms,Delivered - Signed for by
45,5985108651,Valid,Success,2.94 Kilograms,Delivered - Signed for by
46,5985108393,Valid,Success,2.86 Kilograms,Delivered - Signed for by
47,930906011865,Valid,Success,2.3 LB,
48,930906011876,Valid,Success,2.0 LB,
49,HAFIZ NASIR,Invalid,,,
50,5985109071,Valid,Success,2.96 Kilograms,Delivered - Signed for by TIMOTHY CLOU
51,930906012287,Valid,Success,1.0 LB,
52,930906012298,Valid,Success,1.0 LB,
53,930906012265,Valid,Success,2.5 LB,
54,930906012276,Valid,Success,1.1 LB,
55,930906012254,Valid,Success,1.4 KG,
56,5985109734,Valid,Success,2.86 Kilograms,Delivered - Signed for by GHOLT
57,930906012519,Valid,Success,1.6 LB,
58,399839193738,Valid,Success,3.2 LB,
59,399839713120,Valid,Success,0.8 KG,
60,5985110784,Valid,Success,1.86 Kilograms,Delivered - Signed for by P GRAMMAR
61,5985110773,Valid,Success,1.02 Kilograms,Delivered - Signed for by
62,5985110272 / RETURN TO SHIPPER,Invalid,,,
63,5985110261,Valid,Success,1.38 Kilograms,Delivered - Signed for by HOT BETWEEN
64,5985110250,Valid,Success,0.9 Kilograms,Delivered - Signed for by
65,399890327741,Valid,Success,1.0 LB,
66,5985111160,Valid,Success,0.92 Kilograms,Delivered - Signed for by DAVID HEARD
67,5985111171,Valid,Success,1.68 Kilograms,Delivered - Signed for by JOHN GARLIC
68,5985111204,Valid,Success,2.92 Kilograms,Delivered - Signed for by Front Porch
69,5985111215,Valid,Success,2.92 Kilograms,Delivered - Signed for by SCHOENINGER
70,5985111226,Valid,Success,2.86 Kilograms,Delivered - Signed for by HELEMS
71,5985111230,Valid,Success,4.26 Kilograms,Delivered - Signed for by HR MARKUS
72,5985111241,Valid,Success,2.94 Kilograms,Delivered - Signed for by
73,5985111252,Valid,Success,2.96 Kilograms,Delivered - Signed for by M BOLLINGER
74,5985111263,Valid,Success,2.96 Kilograms,Delivered - Signed for by FRONT DOOR
75,5985111300,Valid,Success,2.94 Kilograms,Delivered - Signed for by J ROVELLI
76,5985111311,Valid,Success,2.96 Kilograms,Delivered - Signed for by
77,5985111392,Valid,Success,1.68 Kilograms,Delivered - Signed for by
78,5985111440,Valid,Success,1.56 Kilograms,Delivered - Signed for by TANDEO
79,780993618496,Valid,Success,1.5 KG,
80,780993741328,Valid,Success,3.3 LB,
81,5985111823,Valid,Success,1.74 Kilograms,Delivered - Signed for by
82,5985111790,Valid,Success,5.48 Kilograms,Delivered - Signed for by
83,5985111786,Valid,Success,1.6 Kilograms,Delivered - Signed for by WISTON BESHO
84,5985111775,Valid,Success,1.6 Kilograms,Delivered - Signed for by
85,5985112464,Valid,Success,5.96 Kilograms,Delivered - Signed for by
86,781129613549,Valid,Success,2.2 LB,
87,781129747583,Valid,Success,2.3 LB,
88,781131166424,Valid,Success,2.6 LB,
89,781131248510,Valid,Success,2.9 LB,
90,930906014040,Valid,Success,2.0 LB,
91,930906014030,Valid,Success,2.1 LB,
92,930906014051,Valid,Success,2.0 LB,
93,930906014073,Valid,Success,1.5 LB,
94,5985113271,Valid,Success,3.28 Kilograms,Delivered - Signed for by DOOR
95,781192224890,Valid,Success,2.8 LB,
96,781251228957,Valid,Success,0.5 KG,
97,5985114181,Valid,Success,0.16 Kilograms,Delivered - Signed for by DAVID REID
98,5985114170,Valid,Success,1.14 Kilograms,Delivered - Signed for by ROBSON
99,5985113304,Valid,Success,1.48 Kilograms,Delivered - Signed for by
100,5985114855,Valid,Success,0.08 Kilograms,Delivered - Signed for by SNDRAM
101,781449945520,Valid,Success,1.0 LB,
102,781461578371,Valid,Success,2.9 LB,
103,781450205289,Valid,Success,2.6 LB,
104,5985115371,Valid,Success,1.58 Kilograms,Delivered - Signed for by
105,5985115360,Valid,Success,1.6 Kilograms,Delivered - Signed for by MELODY LARSO
106,5985115356,Valid,Success,1.56 Kilograms,Delivered
107,5985114844,Valid,Success,1.22 Kilograms,Delivered - Signed for by
108,781449849648,Valid,Success,0.5 KG,
109,5985115006,Valid,Success,1.26 Kilograms,Delivered - Signed for by METTIG NK
110,5985114822,Valid,Success,2.96 Kilograms,Delivered - Signed for by
111,781519835218,Valid,Success,2.1 LB,
112,781519914598,Valid,Success,2.8 LB,
113,930906015610,Valid,Success,0.5 KG,
114,930906015632,Valid,Success,0.5 KG,
115,5985116616,Valid,Success,3.24 Kilograms,Delivered - Signed for by JORDAN CAMPB
116,5985116200,Valid,Success,2.9 Kilograms,Delivered - Signed for by
117,5985116196,Valid,Success,2.88 Kilograms,Delivered - Signed for by
118,5985116163,Valid,Success,2.84 Kilograms,Delivered - Signed for by LEFT AT BACK
119,5985116141,Valid,Success,2.96 Kilograms,Delivered - Signed for by MARGO
120,5985116130,Valid,Success,2.88 Kilograms,Delivered - Signed for by
121,5985116126,Valid,Success,2.84 Kilograms,Delivered - Signed for by A MY
122,5985115636,Valid,Success,2.94 Kilograms,Delivered - Signed for by
123,5985115625,Valid,Success,2.86 Kilograms,Delivered - Signed for by JOSEPH
124,5985115614,Valid,Success,2.92 Kilograms,Delivered - Signed for by
125,930906015654,Valid,Success,2.8 LB,
126,5985115511,Valid,Success,2.88 Kilograms,Delivered - Signed for by
127,781582319312,Valid,Success,1.0 LB,
128,5985116561,Valid,Success,1.16 Kilograms,Delivered - Signed for by
129,930906016179,Valid,Success,1.0 LB,
130,930906016216,Valid,Success,1.0 LB,
131,2138013393,Valid,Success,2.88 Kilograms,Delivered - Signed for by H HANSEN
132,930906016180,Valid,Success,1.7 LB,
133,930906016190,Valid,Success,1.6 LB,
134,930906016168,Valid,Success,0.5 KG,
135,781689771153,Invalid,,,
136,781689760086,Valid,Success,0.5 KG,
137,781689729815,Valid,Success,0.5 KG,
138,781689707979,Valid,Success,1.0 LB,
139,2138014222,Valid,Success,1.62 Kilograms,Delivered - Signed for by A JOHNSON
140,2138014211,Valid,Success,1.62 Kilograms,Delivered - Signed for by A B
141,2138014200,Valid,Success,1.58 Kilograms,Delivered - Signed for by MAIL AREA
142,2138014196,Valid,Success,1.64 Kilograms,Delivered - Signed for by CAROL HOLMAN
143,2138014185,Valid,Success,1.66 Kilograms,Delivered - Signed for by BOB
144,2138014174,Valid,Success,1.56 Kilograms,Delivered - Signed for by
145,2138014163,Valid,Success,1.76 Kilograms,Delivered - Signed for by LEFT LTR BOX
146,2138014152,Valid,Success,1.78 Kilograms,Delivered - Signed for by LEFT LTR BOX
147,2138013975,Valid,Success,1.6 Kilograms,Delivered - Signed for by MARIA CURSTA
148,2138013964,Valid,Success,2.24 Kilograms,Delivered - Signed for by GRABER
149,781807213564,Valid,Success,1.0 LB,
150,781804731465,Valid,Success,1.0 KG,
151,781804801465,Valid,Success,2.2 LB,
152,781807432680,Valid,Success,2.8 LB,
153,781850690909,Valid,Success,1.0 LB,
154,781850875135,Valid,Success,0.5 KG,
155,2138014793,Valid,Success,2.9 Kilograms,Shipment on hold
156,2138014782,Valid,Success,2.88 Kilograms,Delivered - Signed for by
157,2138014771,Valid,Success,2.94 Kilograms,Delivered - Signed for by
158,2138014760,Valid,Success,3.24 Kilograms,Delivered - Signed for by P. SETLIKOVA
159,2138014583,Valid,Success,2.38 Kilograms,
160,781854091396,Valid,Success,1.0 LB,
161,781850505233,Valid,Success,1.0 LB,
162,781850763996,Valid,Success,2.8 LB,
163,2138015143,Valid,Success,1.56 Kilograms,"Arrived at Delivery Facility in PORTLAND,OR-USA"
164,2138014970,Valid,Success,0.88 Kilograms,Delivered - Signed for by JAMES BRIFFA
165,781889726292,Valid,Success,1.1 LB,
166,781889765370,Valid,Success,1.0 LB,
167,781889797207,Valid,Success,1.0 LB,
168,781889436917,Valid,Success,1.4 KG,
169,2138015563,Valid,Success,1.78 Kilograms,Delivered - Signed for by
170,781910421730,Valid,Success,1.0 LB,
171,781910784239,Valid,Success,0.5 KG,
172,781910740295,Valid,Success,0.5 KG,
173,781910718320,Valid,Success,0.5 KG,
174,781910618235,Valid,Success,1.0 KG,
175,781910599729,Valid,Success,3.0 LB,
176,2138015740,Valid,Success,2.9 Kilograms,
177,2138015751,Valid,Success,1.52 Kilograms,Delivered - Signed for by THOMAS
178,2138016016,Valid,Success,1.6 Kilograms,Delivered - Signed for by ISABEL
179,930906017495,Valid,Success,0.5 KG,
180,781957123022,Valid,Success,0.5 KG,
181,782002559729,Valid,Success,2.0 LB,
182,2138016311,Valid,Success,0.92 Kilograms,Delivered - Signed for by MIKE
183,2138016300,Valid,Success,0.52 Kilograms,Delivered - Signed for by BRAEM JEAN C
184,2138015622,Valid,Success,2.48 Kilograms,Delivered - Signed for by BIDAULT
185,2138015703,Valid,Success,0.68 Kilograms,Delivered - Signed for by SCHIERER
186,782012006045,Valid,Success,1.0 LB,
187,782011942475,Valid,Success,1.0 LB,
188,949610179823,Valid,Success,2.3 LB,
189,949610179812,Valid,Success,0.5 KG,
